time;DBD;HPG;VNM;ACB;;;;;;;;;;;;;
15/05/2023;0,012400354;-0,011222682;-0,008734372;0;;;;;;;;;;;;;
16/05/2023;-0,005540974;-0,004181601;0,010193504;0;;;;;;;;;;;;;
17/05/2023;0,004398827;-0,00959808;-0,010090645;-0,004092769;;;;;;;;;;;;;
18/05/2023;-0,003211679;0,007268322;0,002937111;0,004109589;;;;;;;;;;;;;
19/05/2023;0,014645577;-0,007215875;-0,008613264;-0,002046385;;;;;;;;;;;;;
22/05/2023;-0,002309469;0,004845548;-0,005907906;0,004101162;;;;;;;;;;;;;
23/05/2023;-0,004340278;-0,009041591;-0,017479462;0,011572498;;;;;;;;;;;;;
24/05/2023;0,004359198;-0,018248175;-0,010496353;-0,00807537;;;;;;;;;;;;;
25/05/2023;0,026909722;-0,004956629;0,012046027;-0,002035278;;;;;;;;;;;;;
26/05/2023;0,001972387;-0,00498132;0;-0,003399048;;;;;;;;;;;;;
29/05/2023;0;0,01689612;0;0,005457026;;;;;;;;;;;;;
30/05/2023;0;-0,004923077;-0,008882572;0,002035278;;;;;;;;;;;;;
31/05/2023;-0,001968504;-0,006802721;-0,006094282;0,008124577;;;;;;;;;;;;;
01/06/2023;-0,04029304;0,009339975;0;0,008730692;;;;;;;;;;;;;
02/06/2023;0,03728714;0,009253547;-0,003065825;0,018641811;;;;;;;;;;;;;
05/06/2023;-0,00764223;0,002444988;0,00922576;-0,002614379;;;;;;;;;;;;;
06/06/2023;-0,005419281;0,004878049;-0,001613192;0,002621232;;;;;;;;;;;;;
07/06/2023;0,004301692;0,038834951;-0,003052065;0,001960784;;;;;;;;;;;;;
08/06/2023;-0,008852085;0,008761682;-0,010444805;-0,011089367;;;;;;;;;;;;;
09/06/2023;0,070008643;0,00463231;0,004549591;-0,002638522;;;;;;;;;;;;;
12/06/2023;0,028271405;0,002305476;0,031884058;-0,00462963;;;;;;;;;;;;;
13/06/2023;-0,010212097;0,019551466;-0,004389045;0,00730897;;;;;;;;;;;;;
14/06/2023;-0,006084656;-0,012972363;-0,007406101;0,001978892;;;;;;;;;;;;;
15/06/2023;-0,01437317;0,002285714;-0,011902647;0,002633311;;;;;;;;;;;;;
16/06/2023;0,030245747;0,012542759;-0,003056455;0,004596192;;;;;;;;;;;;;
19/06/2023;-0,001048493;-0,003941441;-0,004508566;-0,007189542;;;;;;;;;;;;;
20/06/2023;0,012070323;0,013001696;-0,004528986;0;;;;;;;;;;;;;
21/06/2023;-0,005963184;0,040178571;0,012192903;0,002633311;;;;;;;;;;;;;
22/06/2023;-0,00808555;0,010193133;0,008989572;-0,002626395;;;;;;;;;;;;;
23/06/2023;0,004207205;0,021773765;0,032965075;0,011849901;;;;;;;;;;;;;
26/06/2023;0,024090076;-0,007796258;0,02173538;0,016265452;;;;;;;;;;;;;
