"","mean","StdDev","out","w.VNM","w.DBD","w.HPG","w.ACB"
"result.108",0.000529716775971108,0.0102246276492986,0.000104543010566801,0.342050368639225,0.385154891939712,0.0342128811191871,0.238581858301875
"result.109",0.000530031295879022,0.0102251708223871,0.000104554118346996,0.34155247564571,0.385309168939566,0.0342422032628571,0.238896152151867
"result.110",0.000530345815786936,0.0102257190189922,0.000104565329455379,0.341054582652194,0.385463445939419,0.0342715254065272,0.23921044600186
"result.111",0.00053066033569485,0.0102262722383061,0.00010457664389195,0.340556689658679,0.385617722939272,0.0343008475501972,0.239524739851852
"result.112",0.000530974855602765,0.0102268304795136,0.000104588061656709,0.340058796665163,0.385771999939126,0.0343301696938673,0.239839033701844
"result.113",0.000531289375510679,0.0102273937417925,0.000104599582749656,0.339560903671647,0.385926276938979,0.0343594918375373,0.240153327551837
"result.114",0.000531603895418593,0.0102279620243131,0.00010461120717079,0.339063010678132,0.386080553938832,0.0343888139812074,0.240467621401829
"result.115",0.000531918415326507,0.0102285353262387,0.000104622934920113,0.338565117684616,0.386234830938685,0.0344181361248774,0.240781915251821
"result.116",0.000532232935234422,0.0102291136467254,0.000104634765997623,0.3380672246911,0.386389107938539,0.0344474582685475,0.241096209101813
"result.117",0.000532547455142336,0.0102296969849219,0.000104646700403321,0.337569331697585,0.386543384938392,0.0344767804122175,0.241410502951806
"result.118",0.00053286197505025,0.0102302853399701,0.000104658738137207,0.337071438704069,0.386697661938245,0.0345061025558876,0.241724796801798
"result.119",0.000533176494958164,0.0102308787110043,0.000104670879199281,0.336573545710553,0.386851938938099,0.0345354246995576,0.24203909065179
"result.120",0.000533491014866079,0.0102314770971519,0.000104683123589543,0.336075652717038,0.387006215937952,0.0345647468432277,0.242353384501783
"result.121",0.000533805534773993,0.0102320804975329,0.000104695471307993,0.335577759723522,0.387160492937805,0.0345940689868977,0.242667678351775
"result.122",0.000534120054681907,0.0102326889112603,0.00010470792235463,0.335079866730006,0.387314769937658,0.0346233911305678,0.242981972201767
"result.123",0.000534434574589821,0.01023330233744,0.000104720476729455,0.334581973736491,0.387469046937512,0.0346527132742378,0.24329626605176
"result.124",0.000534749094497735,0.0102339207751706,0.000104733134432469,0.334084080742975,0.387623323937365,0.0346820354179079,0.243610559901752
"result.125",0.00053506361440565,0.0102345442235436,0.00010474589546367,0.33358618774946,0.387777600937218,0.0347113575615779,0.243924853751744
"result.126",0.000535378134313564,0.0102351726816434,0.000104758759823059,0.333088294755944,0.387931877937072,0.034740679705248,0.244239147601737
"result.127",0.000535692654221478,0.0102358061485471,0.000104771727510636,0.332590401762428,0.388086154936925,0.0347700018489181,0.244553441451729
"result.128",0.000536007174129392,0.010236444623325,0.0001047847985264,0.332092508768912,0.388240431936778,0.0347993239925881,0.244867735301721
"result.129",0.000536321694037307,0.0102370881050401,0.000104797972870353,0.331594615775397,0.388394708936631,0.0348286461362582,0.245182029151713
"result.130",0.000536636213945221,0.0102377365927481,0.000104811250542493,0.331096722781881,0.388548985936485,0.0348579682799282,0.245496323001706
"result.131",0.000536950733853135,0.0102383900854979,0.000104824631542821,0.330598829788366,0.388703262936338,0.0348872904235983,0.245810616851698
"result.132",0.000537265253761049,0.0102390485823312,0.000104838115871338,0.33010093679485,0.388857539936191,0.0349166125672683,0.24612491070169
"result.133",0.000537579773668963,0.0102397120822825,0.000104851703528042,0.329603043801334,0.389011816936045,0.0349459347109384,0.246439204551683
"result.134",0.000537894293576878,0.0102403805843793,0.000104865394512933,0.329105150807819,0.389166093935898,0.0349752568546084,0.246753498401675
"result.135",0.000538208813484792,0.0102410540876422,0.000104879188826013,0.328607257814303,0.389320370935751,0.0350045789982785,0.247067792251667
"result.136",0.000538523333392706,0.0102417325910844,0.000104893086467281,0.328109364820787,0.389474647935604,0.0350339011419485,0.24738208610166
"result.137",0.00053883785330062,0.0102424160937123,0.000104907087436736,0.327611471827272,0.389628924935458,0.0350632232856186,0.247696379951652
"result.138",0.000539152373208535,0.010243104594525,0.000104921191734379,0.327113578833756,0.389783201935311,0.0350925454292886,0.248010673801644
"result.139",0.000539466893116449,0.0102437980925148,0.000104935399360211,0.32661568584024,0.389937478935164,0.0351218675729587,0.248324967651637
"result.140",0.000539781413024363,0.0102444965866669,0.00010494971031423,0.326117792846725,0.390091755935018,0.0351511897166287,0.248639261501629
"result.141",0.000540095932932277,0.0102452000759593,0.000104964124596437,0.325619899853209,0.390246032934871,0.0351805118602988,0.248953555351621
"result.142",0.000540410452840192,0.0102459085593632,0.000104978642206831,0.325122006859694,0.390400309934724,0.0352098340039688,0.249267849201614
"result.143",0.000540724972748106,0.0102466220358425,0.000104993263145414,0.324624113866178,0.390554586934577,0.0352391561476389,0.249582143051606
"result.144",0.00054103949265602,0.0102473405043545,0.000105007987412184,0.324126220872662,0.390708863934431,0.0352684782913089,0.249896436901598
"result.145",0.000541354012563934,0.0102480639638491,0.000105022815007143,0.323628327879146,0.390863140934284,0.035297800434979,0.250210730751591
"result.146",0.000541668532471848,0.0102487924132694,0.000105037745930289,0.323130434885631,0.391017417934137,0.035327122578649,0.250525024601583
"result.147",0.000541983052379763,0.0102495258515515,0.000105052780181623,0.322632541892115,0.391171694933991,0.0353564447223191,0.250839318451575
"result.148",0.000542297572287677,0.0102502642776245,0.000105067917761145,0.322134648898599,0.391325971933844,0.0353857668659891,0.251153612301567
"result.149",0.000542612092195591,0.0102510076904105,0.000105083158668855,0.321636755905084,0.391480248933697,0.0354150890096592,0.25146790615156
"result.150",0.000542926612103505,0.0102517560888246,0.000105098502904752,0.321138862911568,0.39163452593355,0.0354444111533292,0.251782200001552
"result.151",0.00054324113201142,0.0102525094717751,0.000105113950468838,0.320640969918053,0.391788802933404,0.0354737332969993,0.252096493851544
"result.152",0.000543555651919334,0.0102532678381632,0.000105129501361111,0.320143076924537,0.391943079933257,0.0355030554406693,0.252410787701537
"result.153",0.000543870171827248,0.0102540311868832,0.000105145155581573,0.319645183931021,0.39209735693311,0.0355323775843394,0.252725081551529
"result.154",0.000544184691735162,0.0102547995168224,0.000105160913130222,0.319147290937506,0.392251633932964,0.0355616997280094,0.253039375401521
"result.155",0.000544499211643076,0.0102555728268614,0.000105176774007059,0.31864939794399,0.392405910932817,0.0355910218716795,0.253353669251514
"result.156",0.000544813731550991,0.0102563511158737,0.000105192738212084,0.318151504950474,0.39256018793267,0.0356203440153495,0.253667963101506
"result.157",0.000545128251458905,0.0102571343827258,0.000105208805745296,0.317653611956959,0.392714464932523,0.0356496661590196,0.253982256951498
"result.158",0.000545442771366819,0.0102579226262776,0.000105224976606697,0.317155718963443,0.392868741932377,0.0356789883026896,0.25429655080149
"result.159",0.000545757291274733,0.0102587158453817,0.000105241250796285,0.316657825969927,0.39302301893223,0.0357083104463597,0.254610844651483
"result.160",0.000546071811182648,0.0102595140388842,0.000105257628314062,0.316159932976412,0.393177295932083,0.0357376325900297,0.254925138501475
"result.161",0.000546386331090562,0.0102603172056241,0.000105274109160026,0.315662039982896,0.393331572931937,0.0357669547336998,0.255239432351468
"result.162",0.000546700850998476,0.0102611253444336,0.000105290693334178,0.31516414698938,0.39348584993179,0.0357962768773698,0.25555372620146
"result.163",0.00054701537090639,0.0102619384541381,0.000105307380836518,0.314666253995865,0.393640126931643,0.0358255990210399,0.255868020051452
"result.164",0.000547329890814305,0.010262756533556,0.000105324171667045,0.314168361002349,0.393794403931496,0.0358549211647099,0.256182313901444
"result.165",0.000547644410722219,0.0102635795814989,0.000105341065825761,0.313670468008833,0.39394868093135,0.03588424330838,0.256496607751437
"result.166",0.000547958930630133,0.0102644075967717,0.000105358063312665,0.313172575015318,0.394102957931203,0.0359135654520501,0.256810901601429
"result.167",0.000548273450538047,0.0102652405781723,0.000105375164127756,0.312674682021802,0.394257234931056,0.0359428875957201,0.257125195451421
"result.168",0.000548587970445961,0.010266078524492,0.000105392368271035,0.312176789028287,0.39441151193091,0.0359722097393902,0.257439489301414
"result.169",0.000548902490353876,0.0102669214345149,0.000105409675742502,0.311678896034771,0.394565788930763,0.0360015318830602,0.257753783151406
"result.170",0.00054921701026179,0.0102677693070188,0.000105427086542157,0.311181003041255,0.394720065930616,0.0360308540267303,0.258068077001398
"result.171",0.000549531530169704,0.0102686221407743,0.00010544460067,0.31068311004774,0.394874342930469,0.0360601761704003,0.258382370851391
"result.172",0.000549846050077618,0.0102694799345454,0.000105462218126031,0.310185217054224,0.395028619930323,0.0360894983140704,0.258696664701383
"result.173",0.000550160569985533,0.0102703426870893,0.000105479938910249,0.309687324060708,0.395182896930176,0.0361188204577404,0.259010958551375
"result.174",0.000550475089893447,0.0102712103971565,0.000105497763022655,0.309189431067193,0.395337173930029,0.0361481426014105,0.259325252401368
"result.175",0.000550789609801361,0.0102720830634906,0.00010551569046325,0.308691538073677,0.395491450929883,0.0361774647450805,0.25963954625136
"result.176",0.000551104129709275,0.0102729606848285,0.000105533721232032,0.308193645080161,0.395645727929736,0.0362067868887506,0.259953840101352
"result.177",0.000551418649617189,0.0102738432599004,0.000105551855329002,0.307695752086646,0.395800004929589,0.0362361090324206,0.260268133951344
"result.178",0.000551733169525104,0.0102747307874299,0.00010557009275416,0.30719785909313,0.395954281929442,0.0362654311760907,0.260582427801337
"result.179",0.000552047689433018,0.0102756232661336,0.000105588433507505,0.306699966099614,0.396108558929296,0.0362947533197607,0.260896721651329
"result.180",0.000552362209340932,0.0102765206947215,0.000105606877589039,0.306202073106099,0.396262835929149,0.0363240754634308,0.261211015501321
"result.181",0.000552676729248846,0.010277423071897,0.00010562542499876,0.305704180112583,0.396417112929002,0.0363533976071008,0.261525309351314
"result.182",0.000552991249156761,0.0102783303963567,0.00010564407573667,0.305206287119068,0.396571389928856,0.0363827197507709,0.261839603201306
"result.183",0.000553305769064675,0.0102792426667905,0.000105662829802767,0.304708394125552,0.396725666928709,0.0364120418944409,0.262153897051298
"result.184",0.000553620288972589,0.0102801598818818,0.000105681687197052,0.304210501132036,0.396879943928562,0.036441364038111,0.262468190901291
"result.185",0.000553934808880503,0.0102810820403071,0.000105700647919525,0.303712608138521,0.397034220928415,0.036470686181781,0.262782484751283
"result.186",0.000554249328788418,0.0102820091407363,0.000105719711970185,0.303214715145005,0.397188497928269,0.0365000083254511,0.263096778601275
"result.187",0.000554563848696332,0.0102829411818328,0.000105738879349034,0.302716822151489,0.397342774928122,0.0365293304691211,0.263411072451268
"result.188",0.000554878368604246,0.0102838781622533,0.00010575815005607,0.302218929157974,0.397497051927975,0.0365586526127912,0.26372536630126
"result.189",0.00055519288851216,0.0102848200806477,0.000105777524091295,0.301721036164458,0.397651328927829,0.0365879747564612,0.264039660151252
"result.190",0.000555507408420074,0.0102857669356595,0.000105797001454707,0.301223143170942,0.397805605927682,0.0366172969001313,0.264353954001244
"result.191",0.000555821928327989,0.0102867187259255,0.000105816582146307,0.300725250177427,0.397959882927535,0.0366466190438013,0.264668247851237
"result.192",0.000556136448235903,0.0102876754500759,0.000105836266166095,0.300227357183911,0.398114159927388,0.0366759411874714,0.264982541701229
"result.193",0.000556450968143817,0.0102886371067343,0.000105856053514071,0.299729464190395,0.398268436927242,0.0367052633311414,0.265296835551221
"result.194",0.000556765488051731,0.0102896036945178,0.000105875944190234,0.29923157119688,0.398422713927095,0.0367345854748115,0.265611129401214
"result.195",0.000557080007959646,0.0102905752120368,0.000105895938194586,0.298733678203364,0.398576990926948,0.0367639076184815,0.265925423251206
"result.196",0.00055739452786756,0.0102915516578952,0.000105916035527125,0.298235785209848,0.398731267926802,0.0367932297621516,0.266239717101198
"result.197",0.000557709047775474,0.0102925330306904,0.000105936236187852,0.297737892216333,0.398885544926655,0.0368225519058216,0.266554010951191
"result.198",0.000558023567683388,0.0102935193290132,0.000105956540176767,0.297239999222817,0.399039821926508,0.0368518740494917,0.266868304801183
"result.199",0.000558338087591303,0.0102945105514478,0.00010597694749387,0.296742106229302,0.399194098926361,0.0368811961931617,0.267182598651175
"result.200",0.000558652607499217,0.0102955066965721,0.000105997458139161,0.296244213235786,0.399348375926215,0.0369105183368318,0.267496892501168
"result.201",0.000558967127407131,0.0102965077629573,0.00010601807211264,0.29574632024227,0.399502652926068,0.0369398404805018,0.26781118635116
"result.202",0.000559281647315045,0.0102975137491681,0.000106038789414306,0.295248427248755,0.399656929925921,0.0369691626241719,0.268125480201152
"result.203",0.000559596167222959,0.0102985246537628,0.000106059610044161,0.294750534255239,0.399811206925775,0.0369984847678419,0.268439774051144
"result.204",0.000559910687130874,0.0102995404752932,0.000106080534002203,0.294252641261723,0.399965483925628,0.037027806911512,0.268754067901137
"result.205",0.000560225207038788,0.0103005612123046,0.000106101561288433,0.293754748268208,0.400119760925481,0.037057129055182,0.269068361751129
"result.206",0.000560539726946702,0.0103015868633357,0.000106122691902851,0.293256855274692,0.400274037925334,0.0370864511988521,0.269382655601121
"result.207",0.000560854246854616,0.0103026174269191,0.000106143925845457,0.292758962281176,0.400428314925188,0.0371157733425221,0.269696949451114
"result.208",0.000561168766762531,0.0103036529015806,0.000106165263116251,0.292261069287661,0.400582591925041,0.0371450954861922,0.270011243301106
"result.209",0.000561483286670445,0.0103046932858398,0.000106186703715232,0.291763176294145,0.400736868924894,0.0371744176298623,0.270325537151098
"result.210",0.000561797806578359,0.0103057385782098,0.000106208247642402,0.291265283300629,0.400891145924748,0.0372037397735323,0.270639831001091
"result.211",0.000562112326486273,0.0103067887771973,0.000106229894897759,0.290767390307114,0.401045422924601,0.0372330619172024,0.270954124851083
"result.212",0.000562426846394187,0.0103078438813025,0.000106251645481304,0.290269497313598,0.401199699924454,0.0372623840608724,0.271268418701075
"result.213",0.000562741366302102,0.0103089038890193,0.000106273499393037,0.289771604320082,0.401353976924308,0.0372917062045425,0.271582712551068
